arm,stage,global_step,local_step,loss,lr
quarter,1,11000,11000,0.9888946,0.0001
quarter,1,11050,11050,0.9889557,0.0001
quarter,1,11100,11100,0.9888532,0.0001
quarter,1,11150,11150,0.9888819,0.0001
quarter,1,11200,11200,0.9884844,0.0001
quarter,1,11250,11250,0.9889035,0.0001
quarter,1,11300,11300,0.9887031,0.0001
quarter,1,11350,11350,0.9886367,0.0001
quarter,1,11400,11400,0.9889728,0.0001
quarter,1,11450,11450,0.9886558,0.0001
quarter,1,11500,11500,0.9886469,0.0001
quarter,1,11550,11550,0.9887989,0.0001
quarter,1,11600,11600,0.9887744,0.0001
quarter,1,11650,11650,0.9887157,0.0001
quarter,1,11700,11700,0.9888734,0.0001
quarter,1,11750,11750,0.9889318,0.0001
quarter,1,11800,11800,0.9890054,0.0001
quarter,1,11850,11850,0.9888734,0.0001
quarter,1,11900,11900,0.9886843,0.0001
quarter,1,11950,11950,0.9889293,0.0001
quarter,1,12000,12000,0.988569,0.0001
quarter,1,12050,12050,0.9889321,0.0001
quarter,1,12100,12100,0.9889791,0.0001
quarter,1,12150,12150,0.9886796,0.0001
quarter,1,12200,12200,0.9888549,0.0001
quarter,1,12250,12250,0.9887388,0.0001
quarter,1,12300,12300,0.988687,0.0001
quarter,1,12350,12350,0.9890006,0.0001
quarter,1,12400,12400,0.9888127,0.0001
quarter,1,12450,12450,0.988625,0.0001
quarter,1,12500,12500,0.9886014,0.0001
quarter,1,12550,12550,0.9889978,0.0001
quarter,1,12600,12600,0.9886625,0.0001
quarter,1,12650,12650,0.9888861,0.0001
quarter,1,12700,12700,0.989002,0.0001
quarter,1,12750,12750,0.989072,0.0001
quarter,1,12800,12800,0.9889444,0.0001
quarter,1,12850,12850,0.9888424,0.0001
quarter,1,12900,12900,0.9887691,0.0001
quarter,1,12950,12950,0.9891702,0.0001
quarter,1,13000,13000,0.9886228,0.0001
quarter,1,13050,13050,0.9888132,0.0001
quarter,1,13100,13100,0.9886988,0.0001
